AGP field,AGP Table,field type,content specifications,EpiDoc,questions/notes
id,edr_inscriptions,integer,internal DB id,,
edr_id,edr_inscriptions,character(9),(from EDR),<msIdentifier><idno>EDR124967</idno><repository>EDR</repository></msIdentifier>,Smyrna ids here?; URI like EDH?
ancient_city,edr_inscriptions,varchar,(from EDR),<history> <origin> <origPlace>Pompeii</origPlace></origin></history>,
find_spot,edr_inscriptions,varchar,(from EDR),"<provenance type=""found""><placeName type=""ancient"" ref=""http://ancientgraffiti.org/Graffiti/property/Pompeii/I.8/17"">Pompeii, Casa dei Quattro Stili (I.8.17)</placeName></provenance>",
measurements,edr_inscriptions,varchar,(from EDR),,
writing_style,edr_inscriptions,varchar,(from EDR),,
language,edr_inscriptions,varchar,(from EDR),,
content,edr_inscriptions,text,(from EDR),,
bibliography,edr_inscriptions,text,(from EDR),"<div type=""bibliography""> <p>....</p></div>",
apparatus,edr_inscriptions,text,(from EDR),,
apparatus_displayed,edr_inscriptions,text,"apparatus,  wherever there are EDR numbers listed, converts those EDR numbers into links to that graffito on ancientgraffiti.org","<div type=""apparatus""><p>....</p></div>",Can we epidocify the links?
date_beginning,edr_inscriptions,varchar,(from EDR),"<history> <origin><origDate notBefore-custom=""00XX"" notAfter-custom=""00YY"" evidence="""" datingMethod=""#julian"">XX-YY C.E.</origDate></origin></history>",
date_end,edr_inscriptions,varchar,(from EDR),"<history> <origin><origDate notBefore-custom=""00XX"" notAfter-custom=""00YY"" evidence="""" datinMethod=""#julian"">XX-YY C.E.</origDate></origin></history>",
date_explanation,edr_inscriptions,varchar,(from EDR),,
primary_contributors,edr_inscriptions,text,ammini.csv (from EDR),,
last_revision,edr_inscriptions,text,ammini.csv (from EDR),,
editor,edr_inscriptions,text,"""Rebecca Benefiel""",,
,,,,,
id,agp_inscription_info,integer,internal DB id,,
edr_id,agp_inscription_info,character(9),foreign key: refers to edr_inscriptions table,<msIdentifier><idno>EDR124967</idno></msIdentifier>,
comment,agp_inscription_info,text,our thoughts about the graffito,"<div type=""commentary"">",Maybe?
content_translation,agp_inscription_info,text,English translation of the content (from EDR),"<div type=""translation""> <p>translation(s)</p></div>",
lang_in_english,agp_inscription_info,varchar,"The name of the language used, in English","<div type=""edition xml:lang=""la""...</div> in <text>","xml:lang work for two languages?  If it's a drawing, we have this field as ""other"" or blank -- just don't export as epidoc"
writing_style_in_english,agp_inscription_info,varchar,"Controlled vocab: Graffiti/Inscribed (incised), Charcoal (black color graffiti at Smyrna), Painted (red color graffiti at Smyrna), Other","<layout>
 <rs type=""execution"">Graffito/Inscribed</rs>",Per http://www.stoa.org/epidoc/gl/latest/supp-desctext.html
height_from_ground,agp_inscription_info,varchar,,"<layout><dim unit=""centimeter"" type=""fromGround"" min=""0.24"" max=""0.11"">0.24-0.11</dim></layout>",
graffito_height,agp_inscription_info,varchar,,"<layout><dimensions><height unit=""centimeter"">0.65</height></dimensions></layout>",
graffito_length,agp_inscription_info,varchar,,"<layout><dimensions><width unit=""centimeter"">0.65</width></dimensions></layout>",
letter_height_min,agp_inscription_info,varchar,,"<handNote>Letter heights: <height min=""0.01"" max=""0.015"" scope=""letter"">0.01 - c. 0.015</height></handNote>",
letter_height_max,agp_inscription_info,varchar,,"<handNote>Letter heights: <height min=""0.01"" max=""0.015"" scope=""letter"">0.01 - c. 0.015</height></handNote>",
property_id,agp_inscription_info,integer,foreign key: refers to property,,
cil,agp_inscription_info,varchar,equivalent to EDR's bibliography field,"<div type=""bibliography""><p></p></div>",
langner,agp_inscription_info,varchar,equivalent to EDR's bibliography field,"<div type=""bibliography""><p></p></div>",
has_figural_component,agp_inscription_info,boolean,,,necessary?
individual_letter_heights,agp_inscription_info,text,,"<handNote>[Specific letter] height: <height min=""0.01"" max=""0.015"" scope=""singleLetter"">0.01 - c. 0.015</height></handNote>",
letter_with_flourishes_height_min,agp_inscription_info,varchar,,"<handNote>Flourish height: <height min=""0.01"" max=""0.015"" scope=""flourishLetter"">0.01 - c. 0.015</height></handNote>",More elegant solution available? Do the handNotes get xml:ids to distinguish between measurement type? 
letter_with_flourishes_height_max,agp_inscription_info,varchar,,"<handNote>Flourish height: <height min=""0.01"" max=""0.015"" scope=""flourishLetter"">0.01 - c. 0.015</height></handNote>",
is_greatest_hit_translation,agp_inscription_info,boolean,,,
is_greatest_hit_figural,agp_inscription_info,boolean,,,
content_epidocified,agp_inscription_info,text,epidocified content (from EDR),,
caption,agp_inscription_info,varchar,caption of graffito,"<div type=""summary""><p></p></div>",Used for figural graffiti?
is_themed,agp_inscription_info,boolean,,,
segment_id,agp_inscription_info,integer,foreign key: refers to segments table,,
on_facade,agp_inscription_info,boolean,,,
contributors,agp_inscription_info,text,,,
update_of_cil,agp_inscription_info,boolean,true if AGP = Update to CIL,,
,,,,,
id,properties,integer,internal DB id,,
property_number,properties,varchar,"this is the ""front"" door","<placeName ref=""URI"" type=""property_number""></placeName>",
additional_properties,properties,varchar,the other doors in the property,,
property_name,properties,varchar,,,
italian_property_name,properties,varchar,,,
insula_id,properties,integer,foreign key: refers to insula table,,
,,,,,
id,propertytypes,integer,internal DB id,,
name,propertytypes,varchar,This is like a vocabulary -- we only allow certain names.,,
commentary,propertytypes,varchar,,,
parent_id,propertytypes,integer,,,
is_parent,propertytypes,boolean,,,
,,,,,
property_id,propertytopropertytype,integer,foreign key: refers to properties table,,
property_type,propertytopropertytype,integer,foreign key: refers to propertytypes table,,
,,,,,
id,insula,integer,internal DB id,,
modern_city,insula,varchar,,,
name,insula,varchar,,,
description,insula,varchar,,,
,,,,,
id,cities,integer,internal DB id,,
name,cities,varchar,,"<placeName ref=""PleiadesURI"" type=""city_name""></placeName>",
description,cities,varchar,,,
pleiades_id,cities,varchar,from Pleiades,,
,,,,,
edr_id,figural_graffiti_info,character(9),foreign key: refers to edr_inscriptions table,,
description_in_latin,figural_graffiti_info,text,,"<decoDesc><decoNote xml:lang=""la"">...</decoNote></decoDesc>",
description_in_english,figural_graffiti_info,text,,"<decoDesc><decoNote xml:lang=""en"">...</decoNote></decoDesc>",
,,,,,
id,drawing_tags,integer,internal DB id,,
name,drawing_tags,varchar,This is like a vocabulary -- we only allow certain names.,"<decoNote ref=""drawingtagURI""></decoNote>",
description,drawing_tags,varchar,,,
,,,,,
id,graffitotodrawingtags,integer,internal DB id,,
graffito_id,graffitotodrawingtags,character(9),foreign key: refers to edr_inscriptions table,,
drawing_tag_id,graffitotodrawingtags,integer,foreign key: refers to drawing_tags table,,
,,,,,
edr_id,greatest_hits_info,character(9),foreign key: refers to edr_inscriptions table,,
commentary,greatest_hits_info,text,displayed on the greatest hits page,,
preferred_image,greatest_hits_info,varchar,,,
,,,,,
theme_id,themes,integer,internal DB id,,
name,themes,varchar,,,
,,,,,
id,graffititothemes,integer,internal DB id,,
graffito_id,graffititothemes,character(9),foreign key: refers to edr_inscriptions table,,
theme_id,graffititothemes,integer,foreign key: refers to themes table,,
,,,,,
edr_id,photos,character(9),(from EDR),,
photo_id,photos,varchar,(from EDR),,
,,,,,
id,segments,integer,internal database id,,
segment_name,segments,varchar,,,
street_id,segments,integer,foreign key: refers to streets table,,
,,,,,
id,streets,integer,internal database id,,
street_name,streets,varchar,,,
,,,,,
seg_id,property_on_segments,integer,foreign key: refers to segments table,,
property_id,property_on_segments,integer,foreign key: refers to properties table,,
side_of_segment,property_on_segments,varchar,Controlled vocab? (left / right),,
,,,,,
inscription_id,epidoc_contributions,character(9),foreign key: refers to edr_inscriptions,,
user_name,epidoc_contributions,varchar(30),foreign key: refers to users,,
comment,epidoc_contributions,text,,,
date_modified,epidoc_contributions,varchar(8),of the form MM/DD/YY,,